Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated
Great Falls Brewing Co,75 W Main St,Canaan,CT,6018,"Canaan, CT, Litchfield",www.greatfallsbrews.com,860-921-7843,BC/TR,,
Great Flats Brewing Co,151 Lafayette St,Schenectady,NY,12305,"Schenectady, NY, Schenectady",www.greatflatsbrewing.com,518-280-0232,BC/TR,,
Great Flood Brewing Co,2120 Bardstown Rd,Louisville,KY,40205,"Louisville, KY, Jefferson",www.facebook.com/greatfloodbrews/,502-457-7711,BC/TR,,
Great Frontier Brewing Co,2010 S Oak St,Lakewood,CO,80227,"Denver, CO, Jefferson",greatfrontierbeer.com/,303-257-5959,BC/TR,,
Great Heights Brewing Co,938 Wakefield Dr,Houston,TX,77018,"Houston, TX, Harris",www.greatheightsbrewing.com,281-220-6900,BC/TR,,
Great Lakes Brewing Co,2701 Carroll Ave,Cleveland,OH,44113,"Cleveland, OH, Cuyahoga",www.greatlakesbrewing.com/,216-771-2085,BC,,
Great Lakes Brewing Co,2516 Market Ave,Cleveland,OH,44113,"Cleveland, OH, Cuyahoga",www.greatlakesbrewing.com/,216-771-4404,BP,,
"Great Legs Winery, Brewery, Distillery",332 E Lakewood Blvd - #200,Holland,MI,49424,"Holland, MI, Ottawa",www.greatlegswinery.com/,616-916-9729,BC/TR,,
Great Life Brewing Co,75 Clarendon Ave - Unit 1,Kingston,NY,12401,"Kingston, NY, Ulster",www.facebook.com/greatlifebrewing/,917-608-5610,BC/TR,,
Great Marsh Brewing Co,99 Main St,Essex,MA,1929,"Essex, MA, Essex",www.thegreatmarsh.com,978-890-7827,BP,,
Great North Aleworks,1050 Holt Ave - Unit 14,Manchester,NH,3109,"Manchester, NH, Hillsborough",www.greatnorthaleworks.com/,603-858-5789,BP,,
Great Notion Brewing Co,2448 NW 28th Ave,Portland,OR,97210,"Portland, OR, Multnomah",greatnotionpdx.com,,BP,,
Great Notion Brewing Co,2204 NE Alberta St - #101,Portland,OR,97211,"Portland, OR, Multnomah",greatnotionpdx.com/,503-548-4491,BP,,
Great Raft Brewing Co,1251 Dalzell St,Shreveport,LA,71102,"Shreveport, LA, Caddo",www.greatraftbrewing.com/,318-734-9881,BC/TR,,
Great Revivalist Brew Works,1225 S Oakwood Ave,Geneseo,IL,61254,"Geneseo, IL, Henry",www.facebook.com/greatrevivalistbrewlab,309-944-5466,BP,,
Great Rhythm Brewing Co,105 Bartlett St,Portsmouth,NH,3801,"Portsmouth, NH, Rockingham",www.greatrhythmbrewing.com,603-430-9540,BC/TR,,
Great South Bay Brewery,25 Drexel Dr,Bay Shore,NY,11706,"Bay Shore, NY, Suffolk",www.greatsouthbaybrewery.com/,631-392-8472,BC/TR,,
Great Valley Farm Brewery,60 Great Valley Lane,Natural Bridge,VA,24578,"Natural Bridge, VA, Rockbridge",www.greatvalleyfarmbrewery.com,540-521-6163,BC/TR,,
Great Western Malting Malt Innovation Center,1705 NW Harborside Dr,Vancouver,WA,98660,"Vancouver, WA, Clark",www.greatwesternmalting.com/gwm/Technical/malt-innovation-center,360-693-3661,BC,,
Greater Good Imperials Brewing Co (Soul Purpose Brewing Co),55 Millbrook St,Worcester,MA,1606,"Worcester, MA, Worcester",greatergoodimperials.com/,508-926-8736,BP,,
Greater Purpose Brewing Co,21517 East Cliff Dr,Santa Cruz,CA,95062,"Santa Cruz, CA, Santa Cruz",www.greaterpurposebrewing.com,831-400-9139,BC/TR,,
Green Bench Brewing Co,1133 Baum Ave N,St Petersburg,FL,33705,"Saint Petersburg, FL, Pinellas",www.greenbenchbrewing.com/,727-800-9836,BC/TR,,
Green Bus Brewing Co,206 Eustis Ave SE,Huntsville,AL,35801,"Huntsville, AL, Madison",www.facebook.com/greenbusbrewing,256-990-2477,BC/TR,,
Green Cheek Beer Co,2957 Randolph Ave √± Unit B,Costa Mesa,CA,92626,"Costa Mesa, CA, Orange",www.greencheekbeer.com,714-998-8172,BP,,
Green Cheek Beer Co,2294 N Batavia St - C,Orange,CA,92865,"Orange, CA, Orange",www.greencheekbeer.com,714-998-8172,BC/TR,,
Green Earth Brewing Co,725 10th St,Greeley,CO,80631,"Greeley, CO, Weld",greenearthbrewingco.com,970-702-2332,BC/TR,,
Green Empire Brewing Co,478 Hegeman Ave,Colchester,VT,5446,"Colchester, VT, Chittenden",www.facebook.com/greenempirebrewing/,,BC,,
Green Feet Brewing Co - CLOSED 2020,3669 E 44th St,Tucson,AZ,85713,"Tucson, AZ, Pima",7,527-977-1691,BC/TR,REVISED,5/1/2021
Green Flash Brewing Co,6550 Mira Mesa Blvd,San Diego,CA,92121,"San Diego, CA, San Diego",www.greenflashbrew.com/,858-622-0085,BC/TR,,
Green Line Brewery,192 E Main St,Canton,GA,30114,"Canton, GA, Cherokee",www.greenlinebrewery.com,,BP,,
Green Man (Greenmansion),27 Buxton Ave,Asheville,NC,28801,"Asheville, NC, Buncombe",www.greenmanbrewery.com/2015-expansion/,828-252-5502,BC/TR,,
Green Man Brewery,23 Buxton Ave,Asheville,NC,28801,"Asheville, NC, Buncombe",www.greenmanbrewery.com/,828-252-5502,BC/TR,,
Green Mountain Beer Co,2585 S Lewis Way - Unit 110,Lakewood,CO,80227,"Denver, CO, Jefferson",www.facebook.com/greenmountainbrewingcompany,303-986-2990,BC/TR,,
Green Oak Brewing Co,1427 Wine Country Rd,Prosser,WA,99350,"Prosser, WA, Benton",www.greenoakbrewing.com,509-786-4922,BP,,
Green Room Brewing Co,228 Third Street N,Jacksonville Beach,FL,32250,"Jacksonville Beach, FL, Duval",www.greenroombrewing.com/,904-201-9283,BC/TR,,
Green Room Burgers and Beer,4010 Pennsylvania Ave,Kansas City,MO,64111,"Kansas City, MO, Jackson",www.greenroomkc.com/,816-216-7682,BP,,
Green Tree Brewing Co,309 N Cody Rd,Le Claire,IA,52753,"Le Claire, IA, Scott",greentreebrewery.com/,563-729-1164,BC/TR,,
Green Wolf Brewing Co,315 Main St,Middleburgh,NY,12122,"Middleburgh, NY, Schoharie",www.facebook.com/greenwolfales/,518-872-2503,BC/TR,,
Greenbrier Valley Brewing Co,862 Industrial Park Rd - Suite A,Maxwelton,WV,24957,"Maxwelton, WV, Greenbrier",www.facebook.com/GreenbrierValleyBrewingCompany/,304-520-4669,BC/TR,,
Greenbush Brewing Co,5885 Sawyer Rd,Sawyer,MI,49125,"Sawyer, MI, Berrien",www.greenbushbrewing.com/,269-405-1076,BP,,
Greenbush Brewing Co (Annex),5870 Sawyer Rd,Sawyer,MI,49125,"Sawyer, MI, Berrien",www.greenbushbrewing.com,269-405-1076,BC/TR,,
Greene Eagle Brewery and Winery,2576 Davis Peck Rd,Cortland,OH,44410,"Cortland, OH, Trumbull",www.greeneeagle.com,330-583-9463,BP,,
Greenpoint Beer and Ale Co,1150 Manhattan Ave,Brooklyn,NY,11222,"Brooklyn, NY, Kings",greenpointbeer.com,718-389-2940,BP,,
Greenport Harbor Brewing Co,234 Carpenter St,Greenport,NY,11944,"Greenport, NY, Suffolk",www.harborbrewing.com/,631-477-6681,BC/TR,,
Greenport Harbor Brewing Co,42155 Main Rd - Rte 25,Peconic,NY,11958,"Peconic, NY, Suffolk",www.harborbrewing.com/,631-477-1100,BC/TR,,
Greenspring Brewing Co,2309 Greenspring Ct,Chesapeake Beach,MD,20732,"Chesapeake Beach, MD, Calvert",www.greenspringbrewingcompany.com/,410 206 3918,BC,,
Greenstar Brewing Co (Uncommon Ground Rest.),3800 N Clark St,Chicago,IL,60613,"Chicago, IL, Cook",www.uncommonground.com/greenstar-brewing/,773-929-3680,BP,,
Greenwood Brewing Co,922 N Fifth St,Phoenix,AZ,85004,"Phoenix, AZ, Maricopa",www.greenwoodbrews.com,480-208-9500,BC/TR,,
Grey Sail Brewing Co,63 Canal St,Westerly,RI,2891,"Westerly, RI, Washington",www.greysailbrewing.com/,401-315-2533,BC/TR,,
Greyline Brewing Co,1727 Alpine Ave NW,Grand Rapids,MI,49504,"Grand Rapids, MI, Kent",www.greylinebrewing.com,,BP,,
Grid City Beer Works,333 West 2100 South,South Salt Lake City,UT,84115,"Salt Lake City, UT, Salt Lake",gridcitybeerworks.com,801-906-8390,BP,,
Griesedieck Brothers Brewery,1240 Switzer Ave,St Louis,MO,63147,"Saint Louis, MO, St. Louis City",gb-beer.com,314-309-3210,BC,,
Griess Family Brews & Taphouse,220 SW H St,Grants Pass,OR,97526,"Grants Pass, OR, Josephine",www.gfbrews.com/,541-450-9090,BC/TR,,
Griffin Claw Brewing Co,575 S Eton St,Birmingham,MI,48009,"Birmingham, MI, Oakland",www.griffinclawbrewingcompany.com/,248-712-4050,BP,,
Griffin Claw Brewing Co,2273 Crooks Rd,Rochester Hills,MI,48309,"Rochester, MI, Oakland",griffinclawbrewingcompany.com,,BC,,
Griffin Hill Farm Brewery,3949 Griffin Rd,Onondaga,NY,13215,"Syracuse, NY, Onondaga",griffinhillny.com,,BC,,
Griffs Brewery,5324 W Ridge Rd - Route 104,Spencerport,NY,14559,"Spencerport, NY, Monroe",www.griffsbrewery.com/,585-617-3843,BC/TR,,
Grillin & Chillin Alehouse Brewery,401 McCray St - Suite B24,Hollister,CA,95023,"Hollister, CA, San Benito",,831-637-2337,BP,,
Grimm Artisanal Ales,990 Metropolitan Ave,Brooklyn,NY,11215,"Brooklyn, NY, Kings",grimmales.com,,BC/TR,,
Grimm Brothers Brewhouse,547 N Denver Ave,Loveland,CO,80538,"Loveland, CO, Larimer",www.grimmbrosbrewhouse.com/,970-624-6045,BC/TR,,
Grind City Brewing Co,76 Waterworks Ave,Memphis,TN,38107,"Memphis, TN, Shelby",www.grindcitybrew.com,,BC/TR,,
Grindhaus Brew Lab (HiFi Homebrew),1650 N Hercules Ave - Unit I,Clearwater,FL,33765,"Clearwater, FL, Pinellas",grindhausbrewlab.com,727-240-0804,BC/TR,,
Grist Brewing Co,9150 Commerce Center Circle,Highlands Ranch,CO,80129,"Littleton, CO, Douglas",www.gristbrewingcompany.com/,720-360-4782,BC/TR,,
Grist Brewing Co (Grist Laboratory),9535 Park Meadows Dr - Unit F,Lone Tree,CO,80124,"Lone Tree, CO, Douglas",www.gristbrewingcompany.com,303-728-9394,BC/TR,,
Grist House Brewing Co,10 Sherman St,Pittsburgh,PA,15209,"Pittsburgh, PA, Allegheny",gristhousebrewing.com/,412-447-1442,BC/TR,,
Grist Iron Brewing Co,4880 NYS Route 414,Burdett,NY,14818,"Burdett, NY, Schuyler",www.gristironbrewing.com/,607-882-2739,BP,,
Gritty McDuffs Brew Pub,183 B Lower Main St - Rte 1,Freeport,ME,4032,"Freeport, ME, Cumberland",www.grittys.com/,207-865-4321,BP,,
Gritty McDuffs Brew Pub,396 Fore St,Portland,ME,4101,"Portland, ME, Cumberland",www.grittys.com/,207-772-2739,BP,,
Gritty McDuffs Brew Pub,68 Main St,Auburn,ME,4210,"Auburn, ME, Androscoggin",www.grittys.com/,207-376-2736,BP,,
Grizzly Peak Brewing Co,120 W Washington St,Ann Arbor,MI,48104,"Ann Arbor, MI, Washtenaw",www.grizzlypeak.net/,734-741-7325,BP,,
"Grocery Brewpub, The",2823 Central Ave,Homewood,AL,35209,"Birmingham, AL, Jefferson",thebrocertbrewpub.com,205-637-0990,BP,,
Grossen Bart Brewery,1025 Delaware Ave,Longmont,CO,80501,"Longmont, CO, Boulder",www.grossenbart.com/,214-770-9847,BC/TR,,
Ground Breaker Brewing Co,2030 SE 7th Ave,Portland,OR,97214,"Portland, OR, Multnomah",www.groundbreakerbrewing.com/,503-974-4467,BC/TR,,
Ground Effect Brewing Co,312 Main St,Hudson,MA,1749,"Hudson, MA, Middlesex",,978-212-5302,BC/TR,,
Groundswell Brewing Co,10151 Prospect Ave,Santee,CA,92071,"Santee, CA, San Diego",groundswellbrew.com/,619-749-9123,BC/TR,,
GroundWork Brewing Co,1225 Snake River Ave,Lewiston,ID,83501,"Lewiston, ID, Nez Perce",groundworkbrewing.com,208-413-7322,BC/TR,,
Grove City Brewing Co (Plum Run Winery),3946 Broadway,Grove City,OH,43123,"Grove City, OH, Franklin",www.grovecitybrewingcompany.com,614-991-0338,BP,,
Grove Roots Brewing Co,302 3rd St SW,Winter Haven,FL,33880,"Winter Haven, FL, Polk",groveroots.com,863-291-0700,BC/TR,,
Growling Bear Brewing Co,14051 Crown Ct,Woodbridge,VA,22193,"Woodbridge, VA, Prince William",growlingbearbrewing.com/,571-535-1965,BC/TR,,
Gruff Brewing Co,104 E Maple St - Suite 101,Bellingham,WA,98225,"Bellingham, WA, Whatcom",www.gruff-brewing.com,360-734-0115,BC/TR,,
Gruhlke Microbrewery & Bias Winery,3166 Hwy B,Berger,MO,63014,"Berger, MO, Franklin",www.biaswinery.com/,573-834-5475,BP,,
Grumpy Old Men Brewing Co,1315 E Main St,Blue Ridge,GA,30513,"Blue Ridge, GA, Fannin",www.grumpyoldmenbrewing.com/,404-966-2665,BC,,
Grumpy Troll Brewpub,105 S 2nd St,Mount Horeb,WI,53572,"Mount Horeb, WI, Dane",www.thegrumpytroll.com/,608-437-2739,BP,,
Gruner Brothers Brewing Co,1301 Wilkins Circle,Casper,WY,82601,"Casper, WY, Natrona",www.grunerbrewing.com,307-439-2222,BC/TR,,
GSP Craft Brewing Co,3618 View Place North NW,Gig Harbor,WA,98332,"Gig Harbor, WA, Pierce",www.gspcraftbrewing.com/,253-328-1121,BC,,
GTs on the Bay,26189 Canal Rd,Orange Beach,AL,36561,"Orange Beach, AL, Baldwin",www.gtsonthebay.com,251-980-8400,BP,,
Guadalupe Brewery (Carlsbad Brew Supply),5674 El Camino Real - Suite D,Carlsbad,CA,92008,"Carlsbad, CA, San Diego",www.carlsbadbrewsupply.com/,858-751-4278,BC/TR,,
Guadalupe Brewing Co,1580 Wald Rd - #1,New Braunfels,TX,78132,"New Braunfels, TX, Comal",www.guadalupebrew.com/,512-878-9214,BC/TR,,
Guadalupe Mountain Brewing Co,3404 National Parks Hwy,Carlsbad,NM,88220,"Carlsbad, NM, Eddy",www.facebook.com/guadalupemountainbrewing/,575-887-8747,BP,,
Guanella Pass Brewing Co,501 Rose St,Georgetown,CO,80444,"Georgetown, CO, Clear Creek",www.guanellapass.com,303-569-5167,BC/TR,,
Guardian Brewing Co,514 E Jackson St,Muncie,IN,47305,"Muncie, IN, Delaware",www.theguardianbrewingco.com,765-273-8918,BC/TR,,
Guardian Brewing Co,3657 63rd St,Saugatuck,MI,49453,"Saugatuck, MI, Allegan",guardianbrewingco.com,269-543-2238,BP,,
Guerrilla Brewing Co,2401 Falls Ave,Waterloo,IA,50701,"Waterloo, IA, Black Hawk",guerrillabrewing.company/,319-234-5686,BP,,
Guesswork Brewing Co (Albion Ale House),108 S Orange St,Albion,IN,46701,"Albion, IN, Noble",www.facebook.com/guessworkbrewingcompany,260-636-2446,BP,,
Guggman Haus Brewing Co,1701 Gent Ave,Indianapolis,IN,46202,"Indianapolis, IN, Marion",guggmanhausbrewing.com,317-602-6131,BC/TR,,
Guidon Brewing Co,415 8th Ave E,Hendersonville,NC,28792,"Hendersonville, NC, Henderson",www.guidonbrewing.com,828-595-7976,BC/TR,,
Guild Warren,99 Water St – Suite 2,Warren,RI,2885,"Warren, RI, Bristol",www.facebook.com/theguildwarren,401-252-4275,BP,NEW,10/18/2021
Guilford Hall Brewery,1611 Guilford Ave,Baltimore,MD,21202,"Baltimore, MD, Balt City",www.guilfordhall.com,410-617-0136,BP,NEW,6/22/2021
Guinness Open Gate Brewery & Barrel House,5001 Washington Blvd,Halethorpe,MD,21227,"Halethorpe, MD, Baltimore",www.newguinnessbrewery.com,,BC/TR,,
Gulf Coast Brewery,500 E Heinberg St,Pensacola,FL,32502,"Pensacola, FL, Escambia",www.gulfcoastbrewery.net/,850-776-4853,BC/TR,,
Gull Lake Distilling Co,92 E Michigan Ave,Galesburg,MI,49053,"Galesburg, MI, Kalamazoo",www.gldistilling.com,269-200-5329,BC/TR,,
Gun Hill Brewing Co,3227 Laconia Ave,Bronx,NY,10469,"Bronx, NY, Bronx",gunhillbrewing.com/,917-887-7863,BC/TR,,
Gunbarrel Brewing Co,7088 Winchester Circle,Boulder,CO,80301,"Boulder, CO, Boulder",www.gunbarrelbrewing.com,800-803-5732,BC/TR,,
Gunflint Tavern and Brewpub,111 W Wisconsin St,Grand Marais,MN,55604,"Grand Marais, MN, Cook",www.gunflinttavern.com/,218-387-1563,BP,,
Gunpowder Falls Brewing Co,15556 Elm Dr,New Freedom,PA,17349,"New Freedom, PA, York",www.gunpowderfallsbrewing.com/,717-759-0330,BC/TR,,
Gunwhale Ales,1501 Orangewood Ave - Suite 101,Orange,CA,92868,"Orange, CA, Orange",www.gunwhaleales.com,949-239-9074,BC/TR,,
Gunwhale Coastal Ales,2960 Randolph Ave,Costa Mesa,CA,92626,"Costa Mesa, CA, Orange",www.gunwhalealesCom,949-393-2537,BC/TR,,
Gusto Brewing Co,3860 Bayshore Rd,North Cape May,NJ,8204,"Cape May, NJ, Cape May",www.gustobrewco.com,609-849-8260,BC/TR,,
Gyppo Ale Mill,1661 Upper Pacific Dr,Whitethorn,CA,95589,"Whitethorn, CA, Humboldt",gyppo.com,707-986-7700,BP,NEW,5/2/2021
Gypsy Brewing Co,4210 Jenna Court,Huntingtown,MD,20639,"Huntingtown, MD, Calvert",,410-449-9379,BC,,
Gypsy Run Brewery,131 N 4th St,Danville,KY,40422,"Danville, KY, Boyle",www.gypsyrunbreweryky.com,606-687-0552,BC/TR,,
Gypsy-Road Brewing Co,1105 E Mountain St,Kernersville,NC,27284,"Kernersville, NC, Forsyth",www.gypsyroadbrewing.com,336-515-3687,BC/TR,,
H. A. Brewing Co,2525 Grave Creek Rd,Eureka,MT,59917,"Eureka, MT, Lincoln",www.habrewing.com/,406-889-3950,BC/TR,,
H.H. Hinder Brewing Co,804 Churchill St,Waupaca,WI,54981,"Waupaca, WI, Waupaca",www.hinderbrewingco.com,715- 942-8018,BP,,
Haas Innovation Brewing Co,1600 River Rd,Yakima,WA,98902,"Yakima, WA, Yakima",www.johnihaas.com/,509-469-4000,BC,,
Hackensack Brewing Co,78 Johnson Ave,Hackensack,NJ,7601,"Hackensack, NJ, Bergen",www.hackensackbrewing.com,551-265-8342,BC/TR,,
Hailstorm Brewing Co,8060 186th St,Tinley Park,IL,60487,"Tinley Park, IL, Cook",www.hailstormbrewing.com/,708-444-1080,BC/TR,,
Haines Brewing Co,327 Main St,Haines,AK,99827,"Haines, AK, Haines",www.hainesbrewing.com/,907-766-3823,BC/TR,,
Hair of the Dog Brewing Co,61 SE Yamhill St,Portland,OR,97214,"Portland, OR, Multnomah",www.hairofthedog.com/,503-232-6585,BP,,
Hairless Hare Brewing Co,738 W National Rd,Vandalia,OH,45377,"Vandalia, OH, Montgomery",www.hairlessharebrewery.com/,937-520-6518,BP,,
Hairy Cow Brewing Co,450 E Blackhawk Dr,Byron,IL,61010,"Byron, IL, Ogle",www.hairycowbrewing.com,815-243-2866,BP,,
Hales Ales Brewery & Pub,4301 Leary Way NW,Seattle,WA,98107,"Seattle, WA, King",www.halesbrewery.com/,206-706-1544,BP,,
Half Acre Beer Co,4257 N Lincoln Ave,Chicago,IL,60618,"Chicago, IL, Cook",www.halfacrebeer.com/lincoln-brewery,773-248-4038,BC,,
Half Acre Beer Co #2,2050 W Balmoral Ave,Chicago,IL,60625,"Chicago, IL, Cook",www.halfacrebeer.com/balmoral-brewery,773-754-8488,BC/RE,,
Half Brothers Brewing Co,17 N Third St,Grand Forks,ND,58201,"Grand Forks, ND, Grand Forks",halfbrothersbrewing.com,701-757-0805,BP,,
Half Day Brewing Co,200 Village Green,Lincolnshire,IL,60069,"Lincolnshire, IL, Lake",halfdaybrewing.com/,847-821-6933,BP,,
Half Door Brewing Co,903 Island Ave,San Diego,CA,92101,"San Diego, CA, San Diego",www.halfdoorbrewing.com/,619-232-9840,BP,,
Half Full Brewery,43 Homestead Ave,Stamford,CT,6902,"Stamford, CT, Fairfield",www.halffullbrewery.com/,203-309-2821,BC/TR,,
Half Lion Brewing Co,1723 W Valley Hwy E,Sumner,WA,98390,"Sumner, WA, Pierce",halflion.com/,253-750-4479,BC/TR,,
Half Moon Bay Brewing Co,390 Capistrano Rd,Half Moon Bay,CA,94019,"Half Moon Bay, CA, San Mateo",www.hmbbrewingco.com/,650-728-2739,BP,,
Half Moon Restaurant & Brewery,4051 South LaFountain St,Kokomo,IN,46902,"Kokomo, IN, Howard",www.halfmoonbrewery.com/,765-455-2739,BP,,
Half Wall Brewery,1887 State Rd 44,New Smyrna Beach,FL,32168,"New Smyrna Beach, FL, Volusia",halfwallbrewery.com,386-426-8410,BP,,
Halfpenny Brewing Co,5150 E Arapahoe Rd - Unit D1-B,Centennial,CO,80122,"Littleton, CO, Arapahoe",www.halfpennybrewing.com/,720-583-0580,BC/TR,,
Halfway Crooks Beer,60 Georgia Ave SE,Atlanta,GA,30312,"Atlanta, GA, Fulton",halfwaycrooks.beer,678-705-5530,BP,,
Hall Brewing Co,8530 Vinegaroon Rd,Parker,CO,80138,"Parker, CO, Douglas",www.hallbrewingco.com/,303-507-5801,BC,,
Halpatter Brewing Co,264 NE Hernando Ave,Lake City,FL,37055,"Dickson, TN, Dickson",halpatterbrewing.com,386-438-8788,BP,,
Hamburg Brewing Co,6553 Boston State Rd,Hamburg,NY,14075,"Hamburg, NY, Erie",www.hamburgbrewing.com/,716-649-3249,BP,,
Hamilton Family Brewery,9757 7th St - #802,Rancho Cucamonga,CA,91730,"Rancho Cucamonga, CA, San Bernardino",www.hamiltonfamilybrewery.com/,909-261-2870,BC/TR,,
Hammer & Forge Brewing Co,70 Main St,Boones Mill,VA,24065,"Boones Mill, VA, Franklin",www.hammerandforgebrewing.com/,540-909-3200,BC/TR,,
Hammer and Stitch Brewing Co,2377 NW Wilson St,Portland,OR,97210,"Portland, OR, Multnomah",www.hsbrew.co,503-468-5622,BP,,
HammerHeart Brewing Co,7785 Lake Dr,Lino Lakes,MN,55014,"Circle Pines, MN, Anoka",www.hammerheartbrewing.com/,651-964-2160,BC/TR,,
Hampline Brewing Co,584 S Tillman St – Suite 1,Memphis,TN,38112,"Memphis, TN, Shelby",www.hampline.com,901-509-2646,BC/TR,,
Hana Koa Brewing Co,962 Kawaiahao St,Honolulu,HI,96814,"Honolulu, HI, Honolulu",www.hanakoabrewing.com,808-591-2337,BP,,
Hand Brewed Beer Co,9771 Variel Ave,Chatsworth,CA,91311,"Chatsworth, CA, Los Angeles",www.handbrewedbeer.com/,818-920-8422,C/TR,,
Hand of Fate Brewing Co,107 E Douglas Ave,Petersburg,IL,62675,"Petersburg, IL, Menard",www.handoffatebrewing.beer/,217-691-1098,BC/TR,,
Hand-Brewed Beer,9771 Variel Ave,Los Angeles,CA,91311,"Chatsworth, CA, Los Angeles",www.handbrewedbeer.com/,818-920-8422,BC,,
Handmap Brewing Co,15 Carlyle St,Battle Creek,MI,49017,"Battle Creek, MI, Calhoun",www.facebook.com/handmapbrewing,269-441-2028,BC/TR,,
Hanger 24 Craft Brewery,1710 Sessums Dr,Redlands,CA,92374,"Redlands, CA, San Bernardino",www.hangar24brewery.com/,909-389-1400,BC/TR,,
Hangman Brewing Co,2703 Philadelphia Pike,Claymont,DE,19703,"Claymont, DE, New Castle",hangmanbrewing.com,302-375-6372,BC/TR,,
Hank Hudson Brewing Co (Fairways of Halfmoon),17 Johnson Rd,Mechanicville,NY,12118,"Mechanicville, NY, Saratoga",www.hankhudsonbrewing.com,518-664-1578,BP,,
Hank is Wiser Brewery,213 N Main St,Cheney,KS,67025,"Cheney, KS, Sedgwick",www.hankiswiserbrewery.com/,316-542-0113,BP,,
Hannegan’s House Beer Co. & Creamery,1535 Tidelands Ave - Suite C,National City,CA,91950,"National City, CA, San Diego",,619-864-5946,BC/TR,,
Hansa Brewery,2717 Lorain Ave,Cleveland,OH,44113,"Cleveland, OH, Cuyahoga",www.hansabrewery.com/,216-631-6585,BP,,
Hap and Harrys Brewing Co (R.S. Lipman Brewing Co),5901 California Ave - #105,Nashville,TN,37029,"Burns, TN, Dickson",hapandharrys.com,615-238-6315,BC,,
Happy 2 Brewing Co (Mios Pizza),8298 Clough Pike,Cincinnati,OH,45244,"Cincinnati, OH, Hamilton",www.facebook.com/pg/happy2brewing,513-474-3777,BP,,
Happy Basset Brewing Co,6044 SW 29th St,Topeka,KS,66614,"Topeka, KS, Shawnee",www.happybassetbrewingco.com/,785-783-3688,BC/TR,,
Happy Street Bru-Werks,209 S Gay St,Mount Vernon,OH,43050,"Mount Vernon, OH, Knox",www.facebook.com/HappyStreetBeer,740-392-5800,BC/TR,,
Happy Trails Brewing Co,38 E Bockman Way,Sparta,TN,38583,"Sparta, TN, White",happytrailsbrewing.com,931-267-8027,BC/TR,,
Happy Valley Brewing Co,137 Elmwood St,State College,PA,16801,"State College, PA, Centre",www.happyvalleybeer.com/,814-234-4406,BP,,
Harbor Brewing Co - NO BREWING HERE 2021,811 Sheridan Rd,Winthrop Harbor,IL,60096,"Winthrop Harbor, IL, Lake",,,BC/TR,REVISED,10/18/2021
Harbor Head Brewing Co,81 Fort Salonga Rd,Northport,NY,11768,"Northport, NY, Suffolk",www.harborheadbrew.com,,BC,,
Harbor Light Brewing Co,516 Phoenix St,South Haven,MI,49090,"South Haven, MI, Van Buren",www.harborlightbrewing.com,616-299-7760,BC/TR,,
Harbottle Brewing Co,3820 S Palo Verde Rd - #102,Tucson,AZ,85714,"Tucson, AZ, Pima",www.harbottlebrewing.com,520-305-9863,BC/TR,,
Harding House Brewing Co,904 51st Ave N,Nashville,TN,37209,"Nashville, TN, Davidson",www.hardinghousebrew.com,615-678-1047,BC/TR,,
Hardware Brewing Co,701 E Main St,Kendrick,ID,83537,"Kendrick, ID, Latah",hardwarebrewingco.com,208-289-5000,BP,,
Hardywood Park Craft Brewery,2408 Ownby Lane,Richmond,VA,23220,"Richmond, VA, Richmond City",www.hardywood.com/,804-420-2420,BC/TR,,
Hardywood Park Craft Brewery - Hardywood West,820 Sancturay Trail Dr,Goochland,VA,23238,"Henrico, VA, Henrico",hardywood.com/visit-us/westcreek/,,BC/TR,,
Harland Brewing Co,3718 Paseo Place - Suite 1300,San Diego,CA,92130,"San Diego, CA, San Diego",harlandbeer.com,858-333-5818,BC/TR,,
Harmon Brewery & Eatery,1938 Pacific Ave,Tacoma,WA,98402,"Tacoma, WA, Pierce",www.harmonbrewingco.com/,253-383-2739,BP,,
Harmon Tap Room,204 St. Helen¬¨'s Ave,Tacoma,WA,98402,"Tacoma, WA, Pierce",www.harmonbrewingco.com/,253-212-2725,BP,,
Harmonic Brewing Co,1050 26th St,San Francisco,CA,94107,"San Francisco, CA, San Francisco",www.harmonicbrewing.com/,415-872-6817,BC/TR,,
Harmony Brewing Co,1551 Lake Dr SE,Grand Rapids,MI,49506,"Grand Rapids, MI, Kent",www.harmonybeer.com/,616-233-0063,BP,,
Harmony Brewing Co (Harmony Hall Brewpub),401 Stocking Ave NW,Grand Rapids,MI,49504,"Grand Rapids, MI, Kent",harmonybeer.com/harmony-hall/,616-233-0063,BP,,
Harpers Ferry Brewing Co,37412 Adventure Center Lane,Hillsboro,VA,20132,"Purcellville, VA, Loudoun",www.harpersferrybrewing.com,571-310-2543,BC/TR,,
Harpers Ferry Brewing Co,37410 Adventure Center Lane,Purcellville,VA,20132,"Purcellville, VA, Loudoun",harpersferrybrewing.com,571-420-2161,BP,NEW,10/18/2021
Harpers Restaurant & Brewpub,131 Albert St,East Lansing,MI,48823,"East Lansing, MI, Ingham",www.harpersbrewpub.com/,517-333-4040,BP,,
Harpoon Brewery,306 Northern Ave,Boston,MA,2210,"Boston, MA, Suffolk",www.harpoonbrewery.com/,617-574-9551,BC/TR,,
