FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
39041,OH,Delaware County,Delaware ,"174,214",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39045,OH,Fairfield County,Fairfield ,"146,156",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39049,OH,Franklin County,Franklin ,"1,163,414",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39055,OH,Geauga County,Geauga ,"93,389",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39061,OH,Hamilton County,Hamilton ,"802,374",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39073,OH,Hocking County,Hocking ,"29,380",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39085,OH,Lake County,Lake ,"230,041",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39089,OH,Licking County,Licking ,"166,492",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39093,OH,Lorain County,Lorain ,"301,356",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39097,OH,Madison County,Madison ,"43,435",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39103,OH,Medina County,Medina ,"172,332",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39117,OH,Morrow County,Morrow ,"34,827",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39127,OH,Perry County,Perry ,"36,058",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39129,OH,Pickaway County,Pickaway ,"55,698",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39159,OH,Union County,Union ,"52,300",1,Large-in a metro area with at least 1 million residents or more                                     ,City
39165,OH,Warren County,Warren ,"212,693",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40017,OK,Canadian County,Canadian ,"115,541",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40027,OK,Cleveland County,Cleveland ,"255,755",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40051,OK,Grady County,Grady ,"52,431",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40081,OK,Lincoln County,Lincoln ,"34,273",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40083,OK,Logan County,Logan ,"41,848",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40087,OK,McClain County,McClain ,"34,506",1,Large-in a metro area with at least 1 million residents or more                                     ,City
40109,OK,Oklahoma County,Oklahoma ,"718,633",1,Large-in a metro area with at least 1 million residents or more                                     ,City
41005,OR,Clackamas County,Clackamas ,"375,992",1,Large-in a metro area with at least 1 million residents or more                                     ,City
41009,OR,Columbia County,Columbia ,"49,351",1,Large-in a metro area with at least 1 million residents or more                                     ,City
41051,OR,Multnomah County,Multnomah ,"735,334",1,Large-in a metro area with at least 1 million residents or more                                     ,City
41067,OR,Washington County,Washington ,"529,710",1,Large-in a metro area with at least 1 million residents or more                                     ,City
41071,OR,Yamhill County,Yamhill ,"99,193",1,Large-in a metro area with at least 1 million residents or more                                     ,City
42003,PA,Allegheny County,Allegheny ,"1,223,348",1,Large-in a metro area with at least 1 million residents or more                                     ,City
42005,PA,Armstrong County,Armstrong ,"68,941",1,Large-in a metro area with at least 1 million residents or more                                     ,City
